State,AreaName,All_Poverty,M_Poverty,F_Poverty,FIPS,Med_Income,M_With,M_Without,F_With,F_Without,All_With,All_Without,Incidence_Rate,Avg_Ann_Incidence,RecentTrend,Mortality_Rate,Avg_Ann_Deaths,POPESTIMATE2015,Rising,Falling
AR,"Greene County, Arkansas",7572,3161,4411,5055,41286,18199,3041,18855,2801,37054,5842,89.2,45,stable,69.6,34,44196,0,0
AR,"Hempstead County, Arkansas",5940,2685,3255,5057,32122,8639,2045,9584,1824,18223,3869,60.6,17,stable,55.6,16,22084,0,0
AR,"Hot Spring County, Arkansas",5975,2520,3455,5059,40000,13038,2294,13930,2154,26968,4448,94.2,41,stable,75.3,32,33426,0,0
AR,"Howard County, Arkansas",2910,1276,1634,5061,34229,5307,1242,5610,1218,10917,2460,96.2,16,stable,83.1,14,13300,0,0
AR,"Independence County, Arkansas",7783,3287,4496,5063,36265,15227,2627,15939,2658,31166,5285,82.3,38,stable,59.3,27,37052,0,0
AR,"Izard County, Arkansas",2663,1346,1317,5065,32630,5407,912,5285,1083,10692,1995,55.9,13,stable,48.4,11,13445,0,0
AR,"Jackson County, Arkansas",3819,1759,2060,5067,31261,6560,1207,5615,903,12175,2110,104.4,24,stable,83.5,19,17338,0,0
AR,"Jefferson County, Arkansas",17205,7764,9441,5069,36747,28435,4044,32557,4219,60992,8263,97.5,84,stable,67.3,58,71565,0,0
AR,"Johnson County, Arkansas",5574,2492,3082,5071,34139,10777,1961,11377,1613,22154,3574,97.2,29,falling,67.9,20,26141,0,1
AR,"Lafayette County, Arkansas",1731,692,1039,5073,31194,2809,635,3106,588,5915,1223,98.1,12,falling,76.8,9,6996,0,1
AR,"Lawrence County, Arkansas",3899,1796,2103,5075,32379,6805,1419,7182,1309,13987,2728,102.7,25,stable,82.3,20,16779,0,0
AR,"Lee County, Arkansas",2304,969,1335,5077,28393,3231,875,3863,488,7094,1363,57,8,stable,61.9,8,9650,0,0
AR,"Lincoln County, Arkansas",2257,1003,1254,5079,32580,3666,768,4639,745,8305,1513,63.4,10,stable,59,9,13820,0,0
AR,"Little River County, Arkansas",2402,1074,1328,5081,36205,5288,1050,5384,837,10672,1887,79.5,14,stable,56.6,11,12472,0,0
AR,"Logan County, Arkansas",4158,1995,2163,5083,35325,9588,1364,9291,1510,18879,2874,87,27,stable,70.4,22,21714,0,0
AR,"Lonoke County, Arkansas",8697,3814,4883,5085,53631,29648,4044,31951,3462,61599,7506,91.9,62,stable,72.3,49,71645,0,0
AR,"Madison County, Arkansas",3183,1329,1854,5087,37691,6461,1384,6587,1199,13048,2583,67.8,14,stable,58.5,12,15767,0,0
AR,"Marion County, Arkansas",3064,1345,1719,5089,34195,6880,1224,7080,1120,13960,2344,82.7,26,stable,72.5,22,16185,0,0
AR,"Miller County, Arkansas",8594,3519,5075,5091,40317,17114,3465,18108,3769,35222,7234,81.2,41,stable,73.1,36,43908,0,0
AR,"Mississippi County, Arkansas",11781,4964,6817,5093,34612,17754,3431,19318,3527,37072,6958,73.6,36,stable,70.2,34,43738,0,0
AR,"Monroe County, Arkansas",2501,1078,1423,5095,27647,3037,567,3412,620,6449,1187,89.5,11,stable,70.9,9,7399,0,0
AR,"Montgomery County, Arkansas",1620,728,892,5097,33037,3605,881,3865,705,7470,1586,67.5,11,stable,50.4,8,8970,0,0
AR,"Nevada County, Arkansas",2424,1176,1248,5099,30691,3408,824,3731,631,7139,1455,69.2,9,stable,76.1,10,8558,0,0
AR,"Newton County, Arkansas",1637,648,989,5101,34536,3470,553,3379,594,6849,1147,63.9,9,stable,64.9,9,7913,0,0
AR,"Ouachita County, Arkansas",5948,2211,3737,5103,31293,10245,1311,11605,1487,21850,2798,84,30,stable,55.8,20,24358,0,0
AR,"Perry County, Arkansas",1624,509,1115,5105,42346,4607,478,4566,527,9173,1005,98.8,14,stable,78.5,11,10189,0,0
AR,"Phillips County, Arkansas",6882,2991,3891,5107,26844,7585,1824,9003,1794,16588,3618,88.1,23,stable,90.8,23,19513,0,0
AR,"Pike County, Arkansas",2199,999,1200,5109,33097,4360,993,4734,847,9094,1840,87.8,13,stable,63.5,10,10824,0,0
AR,"Poinsett County, Arkansas",5416,2410,3006,5111,33070,9578,2099,10369,1842,19947,3941,114,36,stable,103.5,33,24040,0,0
AR,"Polk County, Arkansas",4878,2389,2489,5113,33702,8138,1727,8596,1765,16734,3492,67.1,22,stable,57.8,18,20216,0,0
AR,"Pope County, Arkansas",11818,5525,6293,5115,39810,26407,4371,27067,4343,53474,8714,86.3,59,stable,72.5,49,63390,0,0
AR,"Prairie County, Arkansas",1766,775,991,5117,35833,3510,522,3650,570,7160,1092,89,12,stable,71.7,9,8291,0,0
AR,"Pulaski County, Arkansas",67908,30871,37037,5119,46140,155362,28215,177974,23280,333336,51495,68,277,stable,54.7,223,392664,0,0
AR,"Randolph County, Arkansas",3651,1897,1754,5121,34044,7056,1477,7688,1129,14744,2606,83.9,21,stable,69.9,18,17469,0,0
AR,"St. Francis County, Arkansas",5857,2661,3196,5123,32105,9159,2301,10761,1502,19920,3803,65.2,20,stable,54.4,16,26589,0,0
AR,"Saline County, Arkansas",10176,4896,5280,5125,55817,48403,6658,52131,5374,100534,12032,73.9,100,stable,52,69,117460,0,0
AR,"Scott County, Arkansas",2165,1061,1104,5127,37321,4655,872,4639,631,9294,1503,91.5,15,stable,63.5,10,10513,0,0
AR,"Searcy County, Arkansas",1855,986,869,5129,33083,3284,668,3306,618,6590,1286,72.1,10,stable,65.9,9,7869,0,0
AR,"Sebastian County, Arkansas",28975,12570,16405,5131,38575,52036,9869,54137,10109,106173,19978,78.2,108,stable,62.1,85,127780,0,0
AR,"Sevier County, Arkansas",3755,1807,1948,5133,36579,6695,1825,6927,1633,13622,3458,70.4,12,stable,60.4,10,17290,0,0
AR,"Sharp County, Arkansas",3944,1700,2244,5135,30691,6873,1357,7332,1315,14205,2672,89.3,26,stable,69.1,21,16912,0,0
AR,"Stone County, Arkansas",3042,1414,1628,5137,29264,5402,908,5237,859,10639,1767,66.5,14,stable,58.2,12,12456,0,0
AR,"Union County, Arkansas",8172,3577,4595,5139,38678,16488,2920,17939,2885,34427,5805,89,46,stable,71.6,38,40144,0,0
AR,"Van Buren County, Arkansas",3574,1438,2136,5141,32312,6656,1663,7101,1386,13757,3049,65.1,19,stable,57.5,17,16771,0,0
AR,"Washington County, Arkansas",41846,19505,22341,5143,43524,89087,18167,92453,14933,181540,33100,67.1,119,stable,52.7,91,225477,0,0
AR,"White County, Arkansas",14175,6412,7763,5145,42554,32331,6006,34463,5243,66794,11249,91.2,81,stable,69.6,61,79161,0,0
AR,"Woodruff County, Arkansas",1612,740,872,5147,28993,2662,686,2965,550,5627,1236,108.5,11,stable,64.9,7,6741,0,0
AR,"Yell County, Arkansas",4009,1862,2147,5149,37804,8865,1837,9456,1380,18321,3217,88.1,24,stable,76,21,21713,0,0
AZ,"Apache County, Arizona",25852,12854,12998,4001,31757,25743,9201,28542,7852,54285,17053,22.9,16,rising,17.7,12,71474,1,0
AZ,"Cochise County, Arizona",21102,8595,12507,4003,45075,47589,6771,55718,6614,103307,13385,46.9,84,stable,37,65,126427,0,0
AZ,"Coconino County, Arizona",28824,13662,15162,4005,50234,53505,13515,57656,11293,111161,24808,36.7,39,stable,25.6,26,139097,0,0
AZ,"Gila County, Arizona",11839,5365,6474,4007,39751,21863,4070,22671,3830,44534,7900,54.3,52,stable,43.8,42,53159,0,0
AZ,"Graham County, Arizona",7446,3377,4069,4009,45964,13834,2323,15164,2098,28998,4421,45.5,16,stable,33.8,12,37666,0,0
AZ,"Greenlee County, Arizona",1215,538,677,4011,51628,4139,584,3643,617,7782,1201,64,6,stable,41.8,4,9529,0,0
AZ,"La Paz County, Arizona",3824,1851,1973,4012,34466,8733,1429,8625,1321,17358,2750,54.4,25,stable,37.7,18,20152,0,0
AZ,"Maricopa County, Arizona",673527,313707,359820,4013,54229,1633881,332342,1747583,275016,3381464,607358,52.2,2059,falling,37.2,"1,463",4167947,0,1
AZ,"Mohave County, Arizona",38874,18410,20464,4015,38488,79661,16608,86521,14132,166182,30740,76.6,280,stable,59.1,216,204737,0,0
AZ,"Navajo County, Arizona",32141,15025,17116,4017,35921,41839,10188,44822,8626,86661,18814,39.6,46,stable,31,35,108277,0,0
AZ,"Pima County, Arizona",187250,86251,100999,4019,46162,404930,70973,444390,59712,849320,130685,50.9,628,stable,37.3,464,1010025,0,0
AZ,"Pinal County, Arizona",63201,28120,35081,4021,49477,155409,24692,163328,23603,318737,48295,45.5,201,falling,33.6,146,406584,0,1
AZ,"Santa Cruz County, Arizona",10970,5162,5808,4023,40140,18361,3991,20136,4339,38497,8330,36.1,19,stable,23.1,12,46461,0,0
AZ,"Yavapai County, Arizona",34117,16249,17868,4025,44748,90324,14466,95351,14369,185675,28835,51.9,203,stable,38.1,151,222255,0,0
AZ,"Yuma County, Arizona",40508,18351,22157,4027,40743,76032,20388,81132,17421,157164,37809,48,115,stable,30.9,74,204275,0,0
CA,"Alameda County, California",194639,87343,107296,6001,75619,681621,88190,732996,70544,1414617,158734,46,687,falling,33.4,495,1638215,0,1
CA,"Amador County, California",4191,1886,2305,6005,54171,14369,1631,15820,1060,30189,2691,58.7,38,stable,47.2,31,37001,0,0
CA,"Butte County, California",47532,23533,23999,6007,43444,92483,16326,98566,12938,191049,29264,61.4,169,stable,46,126,225411,0,0
CA,"Calaveras County, California",5590,2433,3157,6009,53233,19250,2526,20634,1972,39884,4498,52.3,41,stable,40.2,31,44828,0,0
CA,"Colusa County, California",3171,1590,1581,6011,52168,8848,2183,8582,1592,17430,3775,56,11,stable,48.9,10,21482,0,0
CA,"Contra Costa County, California",117915,52269,65646,6013,80185,474034,57497,510094,48931,984128,106428,49.2,554,falling,36.1,404,1126745,0,1
CA,"Del Norte County, California",5207,2385,2822,6015,40847,10237,1462,11012,1310,21249,2772,78.4,25,stable,59.9,19,27254,0,0
CA,"El Dorado County, California",18831,9082,9749,6017,69584,81148,9011,83819,7027,164967,16038,50,116,stable,34.3,79,184452,0,0
CA,"Fresno County, California",252187,117772,134415,6019,45233,379453,88591,410573,66736,790026,155327,50.8,411,stable,36.2,291,974861,0,0
CA,"Glenn County, California",5721,2544,3177,6021,39349,11142,2797,11606,2187,22748,4984,61.2,19,stable,43.8,14,28017,0,0
CA,"Humboldt County, California",28158,13202,14956,6023,42197,54679,11986,56929,10368,111608,22354,56.4,86,stable,42.7,65,135727,0,0
CA,"Imperial County, California",40114,18036,22078,6025,41079,66068,14972,71962,14770,138030,29742,44.3,69,stable,27,42,180191,0,0
CA,"Inyo County, California",2019,907,1112,6027,45955,7794,1063,8106,971,15900,2034,45.7,13,stable,36.5,11,18260,0,0
CA,"Kern County, California",195744,87585,108159,6029,49026,344109,73189,358933,60514,703042,133703,55.7,371,stable,41.4,270,882176,0,0
CA,"Kings County, California",29900,13392,16508,6031,46481,53683,10579,57172,9062,110855,19641,48.8,54,stable,34.4,37,150965,0,0
CA,"Lake County, California",15597,7932,7665,6033,35578,25756,5905,27121,4688,52877,10593,73.7,70,stable,56,53,64591,0,0
CA,"Lassen County, California",3563,1814,1749,6035,51555,10144,1107,9576,1144,19720,2251,60.9,19,stable,51.3,15,31345,0,0
CA,"Los Angeles County, California",1800265,823612,976653,6037,56196,3904322,997326,4230137,837175,8134459,1834501,39.9,3701,falling,31.1,"2,876",10170292,0,1
CA,"Madera County, California",33968,15721,18247,6039,45073,57486,14771,62076,10344,119562,25115,51.8,76,stable,37,53,154998,0,0
CA,"Marin County, California",20964,9707,11257,6041,93257,111107,10737,123055,8224,234162,18961,41.6,145,falling,29.7,106,261221,0,1
CA,"Mariposa County, California",2651,1264,1387,6043,47681,7924,871,8092,729,16016,1600,54.6,17,stable,43.3,13,17531,0,0
CA,"Mendocino County, California",17527,8215,9312,6045,42980,35930,7213,38036,5443,73966,12656,52.2,62,stable,42.1,51,87649,0,0
CA,"Merced County, California",67417,32269,35148,6047,42462,106738,23878,112633,17643,219371,41521,56.9,120,falling,41.1,85,268455,0,1
CA,"Modoc County, California",1673,833,840,6049,37860,3678,797,3881,584,7559,1381,43.7,6,stable,34.8,5,8965,0,0
CA,"Monterey County, California",69475,31992,37483,6053,58783,160439,42733,173038,33794,333477,76527,42.6,163,stable,31.7,121,433898,0,0
CA,"Napa County, California",14020,6923,7097,6055,71379,59832,8787,62340,7435,122172,16222,53.3,92,falling,40.6,70,142456,0,1
CA,"Nevada County, California",12367,5582,6785,6057,56521,41033,6956,43911,5718,84944,12674,47.3,75,stable,31.4,50,98877,0,0
CA,"Orange County, California",395483,182267,213216,6059,76509,1292176,237090,1361429,208099,2653605,445189,44.1,1326,falling,32.6,979,3169776,0,1
